년도,수행부처,사이버과정명
2020,감사교육원,회계관계직원의 책임(기본)[사]
2020,감사교육원,중앙행정기관 및 지방자치단체 자체감사기준 해설(사)
2020,감사교육원,감사실시 및 처리 요령(사)
2020,감사교육원,(직무감찰과정)공직범죄의 주요유형 및 사례
2020,감사교육원,(사)감사결과 보고서의 작성실무
2020,감사교육원,(사) 공공 계약의 이해
2020,감사교육원,(감사실무자과정)감사정보활용 및 직무감찰기법
2020,감사교육원,회계관계직원의 책임(기본)[사]
2020,감사교육원,중앙행정기관 및 지방자치단체 자체감사기준 해설(사)
2020,감사교육원,감사실시 및 처리 요령(사)
2020,감사교육원,(직무감찰과정)공직범죄의 주요유형 및 사례
2020,감사교육원,(사)감사결과 보고서의 작성실무
2020,감사교육원,(사) 공공 계약의 이해
2020,감사교육원,(감사실무자과정)감사정보활용 및 직무감찰기법
2020,고려대학교,2020 세종청사 아카데미 : 사회과학과 공공정책
2020,고려대학교,[대학원] 2020학년도 인권과성평등교육
2020,고려대학교,2020 세종청사 아카데미 : 사회과학과 공공정책
2020,고려대학교,[대학원] 2020학년도 인권과성평등교육
2020,공군본부,공군 아동학대예방 원격교육_25차수
2020,공군본부,공군 아동학대예방 원격교육_24차수
2020,공군본부,공군 아동학대예방 원격교육
2020,공군본부,공군 아동학대예방 원격교육
2020,공군본부,공군 아동학대예방 원격교육_24차수
2020,공군본부,공군 아동학대예방 원격교육_25차수
2020,국가공무원인재개발원,뉴텝스 실전으로 중급 완성하기 (1/2)
2020,국가공무원인재개발원,뉴텝스 실전으로 중급 완성하기 (2/2)
2020,국가공무원인재개발원,레벨업 프랑스어 중급
2020,국가공무원인재개발원,"리더의 스트레스 관리(이동환, 만성피로 스트레스 클리닉 원장)"
2020,국가공무원인재개발원,마음을 읽는 소통형 리더의 기술
2020,국가공무원인재개발원,버전 업! The 바른 인도네시아어 Step1
2020,국가공무원인재개발원,버전업! The 바른 인도네시아어 Step2
2020,국가공무원인재개발원,비즈니스 엑셀 2013 Basic
2020,국가공무원인재개발원,생활 속의 뇌물죄(사)
2020,국가공무원인재개발원,뉴텝스 실전으로 기초 준비하기 (2/2)
2020,국가공무원인재개발원,뉴텝스 실전으로 기초 준비하기 (1/2)
2020,국가공무원인재개발원,눈이 트이는 해커스 IELTS Reading (전반부)
2020,국가공무원인재개발원,김경일 교수와 인지심리학으로 바라보는 현명한 세상
2020,국가공무원인재개발원,귀가 뚫리는 해커스 IELTS Listening (전반부)
2020,국가공무원인재개발원,관리자의 효과적인 성과면담 : 스킬과 사례중심 (홍석환 원장)
2020,국가공무원인재개발원,과장급 표준역량과 역량평가의 이해
2020,국가공무원인재개발원,공직자 안보교육
2020,국가공무원인재개발원,공직가치와 청렴(단국대 교수 김상홍)
2020,국가공무원인재개발원,고위공무원 역량 및 역량개발의 이해
2020,국가공무원인재개발원,[헤일리] No.1 토익스피킹 Lv.7
2020,국가공무원인재개발원,"[오단기 워드 2013] 핵심 꿀팁편_늘 보던 워드, 멋진 날개를 달다!"
2020,국가공무원인재개발원,성인지 교육(여성가족부 여성정책국장 이기순)
2020,국가공무원인재개발원,손에 익히는 해커스 IELTS Writing (Task1)
2020,국가공무원인재개발원,아동학대 신고의무자 교육(공공부문 아동학대예방 사이버교육)
2020,국가공무원인재개발원,"혼탁한 세상의 자상한 길잡이, 주역(성균관대 이기동 교수)"
2020,국가공무원인재개발원,행복한리더를 위한 스트레스 다스리기 (강북삼성병원 신영철)
2020,국가공무원인재개발원,한눈에 파악하는 서양 미술사
2020,국가공무원인재개발원,한국사회의 성별 불평등의 이해
2020,국가공무원인재개발원,"조승연이 들려주는 비즈니스를 위한 세계사 (홍콩, 싱가포르, 상하이 편)"
2020,국가공무원인재개발원,조승연이 들려주는 비즈니스를 위한 세계사 (프랑스 편)
2020,국가공무원인재개발원,조승연이 들려주는 비즈니스를 위한 세계사 (이탈리아 편)
2020,국가공무원인재개발원,조승연이 들려주는 비즈니스를 위한 세계사 (영국 편)
2020,국가공무원인재개발원,조승연이 들려주는 비즈니스를 위한 세계사 (스페인 편)
2020,국가공무원인재개발원,조승연이 들려주는 비즈니스를 위한 세계사 (베트남 편)
2020,국가공무원인재개발원,조승연이 들려주는 비즈니스를 위한 세계사 (미국 편)
2020,국가공무원인재개발원,조승연이 들려주는 비즈니스를 위한 세계사 (독일 편)
2020,국가공무원인재개발원,"조승연이 들려주는 비즈니스를 위한 세계사 (그리스, 터키 편)"
2020,국가공무원인재개발원,정부 규제혁신(나라배움터)
2020,국가공무원인재개발원,적극행정의 이해(나라배움터)
2020,국가공무원인재개발원,장애인 인식개선 교육(인식의 새로고침)
2020,국가공무원인재개발원,입이 열리는 해커스 IELTS Speaking(전반부)
2020,국가공무원인재개발원,입이 열리는 영어 청취
2020,국가공무원인재개발원,"영어로 만나는 세계 명작 - 노인과 바다, 셰익스피어이야기"
2020,국가공무원인재개발원,에피소드 서양 미술사
2020,국가공무원인재개발원,악기로 들려주는 세상이야기(한국예술종합학교 교수 우광혁)
2020,국가공무원인재개발원,"[박혜원] 시간 단축의 끝, 900점 완성 RC"
2020,국가공무원인재개발원,"[박혜원] 시간 단축의 끝, 900점 완성 LC"
2020,국가공무원인재개발원,[850점]토익 Listening Part 3
2020,국가공무원인재개발원,(사)맨투맨 영어 - 기초영어(3/4)
2020,국가공무원인재개발원,(사)맨투맨 영어 - 기초영어 (1/4)
2020,국가공무원인재개발원,(사)맨투맨 영어 - 기본영어 1 (2/2)
2020,국가공무원인재개발원,(사)마이크로러닝
2020,국가공무원인재개발원,(사)리더는 어떻게 협상하는가?
