년도,사이버과정명,차수,수행부처,수료율
2019,'19-2차 첨단국방기술 연구모임 세미나,1차,방위사업청,93.8
2019,'19-3차 첨단국방기술 연구모임 세미나,1차,방위사업청,100.0
2019,'19-4차 첨단국방기술 연구모임 세미나,1차,방위사업청,100.0
2019,'19-5차 첨단국방기술 연구모임 세미나,1차,방위사업청,100.0
2019,'19년 2분기 간부급 성희롱·성폭력 예방교육,1차,방위사업청,99.0
2019,(구)일반장비계약팀 직무교육,1차,방위사업청,100.0
2019,(구)일반장비계약팀 통일교육,1차,방위사업청,100.0
2019,(사) [이벤트] 도시정책 기본이해,1차,국토교통인재개발원,100.0
2019,(사) [이벤트] 주택법,1차,국토교통인재개발원,100.0
2019,(사) 부동산학 개론,1차,국토교통인재개발원,100.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),1차,국가공무원인재개발원,100.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),2차,국가공무원인재개발원,0.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),3차,국가공무원인재개발원,100.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),4차,국가공무원인재개발원,100.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),5차,국가공무원인재개발원,0.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),6차,국가공무원인재개발원,100.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),7차,국가공무원인재개발원,100.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),8차,국가공무원인재개발원,100.0
2019,(사) 성인지교육(여성가족부 여성정책국장 이기순),9차,국가공무원인재개발원,100.0
2019,(사) 중앙행정기관 및 지방자치단체 자체감사기준 해설,1차,감사교육원,100.0
2019,(사)IELTS Listening Basic ①,1차,국가공무원인재개발원,100.0
2019,(사)IELTS Writing Basic ①,1차,국가공무원인재개발원,100.0
2019,(사)[550점+목표]해커스 토익 스타트 Reading[독해],1차,국가공무원인재개발원,100.0
2019,(사)[Lv.6]토익스피킹 스타트(전반부),1차,국가공무원인재개발원,100.0
2019,(사)[Mobile겸용]법제실무,1차,국가공무원인재개발원,100.0
2019,(사)감사보고서 작성 요령,1차,감사교육원,100.0
2019,(사)감사보고서 작성 요령,2차,감사교육원,100.0
2019,(사)감사실시 및 처리요령,1차,감사교육원,100.0
2019,(사)공공 통일교육,1차,통일교육원,100.0
2019,(사)공공계약법규 및 실무,1차,감사교육원,100.0
2019,(사)나라배움이북,1차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,10차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,2차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,3차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,4차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,5차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,6차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,7차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,8차,국가공무원인재개발원,100.0
2019,(사)나라배움이북,9차,국가공무원인재개발원,83.3
2019,(사)남북협상의 이해,1차,통일교육원,100.0
2019,"(사)돈이 보이는 창조경제, 아주 쉽죠!",1차,우정공무원교육원,100.0
2019,(사)마이크로러닝,1차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,10차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,11차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,12차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,2차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,3차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,4차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,5차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,6차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,7차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,8차,국가공무원인재개발원,100.0
2019,(사)마이크로러닝,9차,국가공무원인재개발원,100.0
2019,(사)민방위대훈련운영과정,1차,국가민방위재난안전교육원,100.0
2019,(사)민법기초,1차,법제처,100.0
2019,(사)민원실무,1차,지방자치인재개발원,100.0
2019,(사)반부패 청렴정책의 이해,1차,청렴연수원,100.0
2019,(사)보고서 잘 쓰는 방법,1차,국가공무원인재개발원,100.0
2019,(사)북한 금융의 이해,1차,통일교육원,100.0
2019,(사)북한사회와 주민생활,1차,통일교육원,100.0
2019,(사)사례로 배우는 부패영향평가,1차,청렴연수원,100.0
2019,(사)사회재난관리실무과정,1차,국가민방위재난안전교육원,100.0
2019,(사)산림과 인문사회,1차,산림교육원,100.0
2019,(사)실무행정법,1차,국가공무원인재개발원,100.0
2019,(사)안전한 사회를 위한 폭력예방,1차,국가공무원인재개발원,100.0
2019,(사)안전한 사회를 위한 폭력예방,2차,국가공무원인재개발원,100.0
2019,(사)장애인 동료와 함께 일하기,1차,통계교육원,100.0
2019,(사)조사방법의 이해,1차,통계교육원,100.0
2019,(사)커뮤니케이션 스킬,1차,국가공무원인재개발원,100.0
2019,(사)한 달 안에 끝내는 해커스 토익 기출 보카(전반부),1차,국가공무원인재개발원,100.0
2019,(사)한 달 안에 끝내는 해커스 토익 기출 보카(전반부),2차,국가공무원인재개발원,100.0
2019,(사)헌법과 헌법재판,1차,국가공무원인재개발원,100.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",1차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",10차,방위사업청,100.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",11차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",12차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",2차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",3차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",4차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",5차,방위사업청,100.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",6차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",7차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",8차,방위사업청,0.0
2019,"100명의 머리를 이기는 연금술, 전략적 사고",9차,방위사업청,100.0
2019,10월 1차 첨단국방기술 연구모임 세미나,1차,방위사업청,100.0
2019,10월 2차 첨단국방기술 연구모임 세미나,1차,방위사업청,100.0
2019,10월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"10월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,11월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"11월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,12월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"12월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,19-1차 무기체계 계약업무 발전토론회,1차,방위사업청,98.0
2019,19-2차 공군 사이버 자살예방교육,1차,공군본부,100.0
2019,19-2차 무기체계 계약업무 발전토론회,1차,방위사업청,100.0
2019,19년 11월 1차 사이버보안(정보보안) 집합교육,1차,방위사업청,100.0
2019,19년 11월 2차 사이버보안(정보보안) 집합교육,1차,방위사업청,100.0
2019,19년 전반기 핵심기술 단계평가(4시간),1차,방위사업청,100.0
2019,19년 전반기 핵심기술 제안서평가(7시간),1차,방위사업청,100.0
2019,19년 전반기 핵심기술 진도평가(4시간),1차,방위사업청,100.0
2019,19년 전반기 핵심기술 진도평가(7시간),1차,방위사업청,100.0
2019,19년 후반기 핵심기술 단계평가(4시간),1차,방위사업청,100.0
2019,19년 후반기 핵심기술 제안서평가(7시간),1차,방위사업청,100.0
2019,19년 후반기 핵심기술 진도평가(4시간),1차,방위사업청,100.0
2019,19년도 7월 실시 사이버보안 집합교육 (7.16.),1차,방위사업청,100.0
2019,19년도 7월 실시 사이버보안 집합교육 (7.18.),1차,방위사업청,100.0
2019,2007 기획력,1차,방위사업청,0.0
2019,2007 기획력,10차,방위사업청,0.0
2019,2007 기획력,11차,방위사업청,0.0
2019,2007 기획력,12차,방위사업청,0.0
2019,2007 기획력,2차,방위사업청,0.0
2019,2007 기획력,3차,방위사업청,100.0
2019,2007 기획력,4차,방위사업청,0.0
2019,2007 기획력,5차,방위사업청,100.0
2019,2007 기획력,6차,방위사업청,0.0
2019,2007 기획력,7차,방위사업청,0.0
2019,2007 기획력,8차,방위사업청,0.0
2019,2007 기획력,9차,방위사업청,0.0
2019,2007 창의력,1차,방위사업청,0.0
2019,2007 창의력,10차,방위사업청,0.0
2019,2007 창의력,11차,방위사업청,0.0
2019,2007 창의력,12차,방위사업청,0.0
2019,2007 창의력,2차,방위사업청,0.0
2019,2007 창의력,3차,방위사업청,100.0
2019,2007 창의력,4차,방위사업청,0.0
2019,2007 창의력,5차,방위사업청,100.0
2019,2007 창의력,6차,방위사업청,0.0
2019,2007 창의력,7차,방위사업청,0.0
2019,2007 창의력,8차,방위사업청,0.0
2019,2007 창의력,9차,방위사업청,100.0
2019,2019 국방 분석평가 심포지엄,1차,방위사업청,100.0
2019,2019 국방과학기술 대제전 (7.11. 오전),1차,방위사업청,100.0
2019,2019 국방과학기술 대제전 (7.11. 오후),1차,방위사업청,100.0
2019,2019 국방과학기술 대제전 (7.12. 오전),1차,방위사업청,100.0
2019,2019 국방과학기술 대제전 (7.12. 오후),1차,방위사업청,100.0
2019,2019 국방표준화 발전 세미나,1차,방위사업청,100.0
2019,2019 청렴 방위사업 세미나,1차,방위사업청,99.4
2019,2019 획득업무 발전 컨퍼런스,1차,방위사업청,100.0
2019,2019년 10월 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 11월 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 12월 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 1월 사이버보안 교육,1차,방위사업청,99.4
2019,2019년 2분기 청본부 성희롱·성폭력 예방교육,1차,방위사업청,99.3
2019,2019년 2차 민원·친절 교육,1차,방위사업청,100.0
2019,2019년 3분기 청본부 성매매·가정폭력 예방교육,1차,방위사업청,99.2
2019,2019년 3월 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 3차 민원·친절 교육,1차,방위사업청,99.6
2019,2019년 4분기 간부급 성매매·가정폭력 예방교육,1차,방위사업청,95.8
2019,2019년 4분기 사이버보안(정보보안) 초빙교육,1차,방위사업청,99.5
2019,2019년 4분기 청본부 성매매·가정폭력 예방교육,1차,방위사업청,100.0
2019,2019년 4월 1차 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 4월 2차 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 4차 민원·친절 교육,1차,방위사업청,100.0
2019,2019년 5월 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 6월 응급처치법 교육 ,1차,방위사업청,100.0
2019,2019년 7월 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 8월 원가회계검증단 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 8월 응급처치법 교육,1차,방위사업청,97.6
2019,2019년 9월 응급처치법 교육,1차,방위사업청,100.0
2019,2019년 [850점]토익 Listening Part 4,1차,국가공무원인재개발원,100.0
2019,2019년 [850점]토익 Listening Part 4,2차,국가공무원인재개발원,100.0
2019,2019년 [850점]토익 Reading 문법①STEP1,1차,국가공무원인재개발원,100.0
2019,2019년 [850점]토익 Reading 문법①STEP2,1차,국가공무원인재개발원,100.0
2019,2019년 [900점]토익 1000제 Listening①STEP1,1차,국가공무원인재개발원,100.0
2019,2019년 갑질예방 교육,1차,방위사업청,100.0
2019,2019년 개인정보보호 전문가 초빙교육,1차,방위사업청,98.0
2019,"2019년 계약관리본부 주관 성희롱, 성폭력 예방교육",1차,방위사업청,97.5
2019,2019년 국내외 장기훈련 종료자 성과보고회,1차,방위사업청,100.0
2019,2019년 국정원 주관 사이버공격 대응훈련 설명회,1차,방위사업청,100.0
2019,2019년 국제계약 업무발전 워크숍,1차,방위사업청,100.0
2019,"2019년 사업관리본부 주관 성희롱, 성폭력 예방 교육",1차,방위사업청,100.0
2019,2019년 상반기 계약관리본부 주관 청렴교육,1차,방위사업청,100.0
2019,2019년 상반기 민원친절 교육,1차,방위사업청,100.0
2019,2019년 상반기 사업관리본부 주관 청렴교육,1차,방위사업청,100.0
2019,2019년 상반기 여직원 간담회,1차,방위사업청,90.0
2019,2019년 상반기 운영지원과 워크숍,1차,방위사업청,100.0
2019,2019년 상반기 청 소식지(청아람) 원고 기고,1차,방위사업청,100.0
2019,2019년 상반기 청본부 주관 청렴교육,1차,방위사업청,100.0
2019,2019년 성과지표 선정 및 관리 교육,1차,방위사업청,100.0
2019,2019년 성인지 교육 (M-MOOC),1차,국방부,100.0
2019,"2019년 성희롱, 성폭력 예방교육(공군 3훈련비행장",1차,방위사업청,100.0
2019,2019년 양성평등교육 '시소',1차,방위사업청,100.0
2019,2019년 양성평등기념주간 캠페인,1차,방위사업청,100.0
2019,2019년 정부과천청사 정기재산변동신고 설명회,1차,방위사업청,100.0
2019,2019년 청 근무혁신 추진계획 설명회,1차,방위사업청,100.0
2019,2019년 하반기 계약관리본부 주관 청렴교육,1차,방위사업청,100.0
2019,2019년 하반기 기반전력사업본부 주관 청렴교육,1차,방위사업청,99.6
2019,2019년 하반기 미래전력사업규격목록팀 워크숍,1차,방위사업청,100.0
2019,2019년 하반기 여직원 간담회,1차,방위사업청,100.0
2019,2019년 하반기 청 소식지(청아람) 원고 기고,1차,방위사업청,100.0
2019,2019년 해상항공기사업팀 워크숍,1차,방위사업청,100.0
2019,2019년 후반기 청본부 주관 청렴교육,1차,방위사업청,100.0
2019,"2분기 청본부 성인지, 성희롱, 성폭력 예방교육",1차,방위사업청,99.7
2019,2월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"2월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,3월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"3월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,4대폭력 예방교육,1차,방위사업청,85.2
2019,4대폭력 예방교육,2차,방위사업청,80.5
2019,4대폭력 예방교육,3차,방위사업청,90.8
2019,4대폭력 예방교육,4차,방위사업청,86.1
2019,4대폭력 예방교육,5차,방위사업청,90.4
2019,4대폭력 예방교육,6차,방위사업청,83.0
2019,4대폭력 예방교육,7차,방위사업청,93.3
2019,4대폭력 예방교육,8차,방위사업청,86.1
2019,4대폭력 예방교육,9차,방위사업청,92.3
2019,4월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"4월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,4차 산업혁명 시대 국방기술 발전방향 워크숍,1차,방위사업청,100.0
2019,5월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"5월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,80.0
2019,6월 사랑나눔 활동(과천),1차,방위사업청,91.7
2019,"6월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,7월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"7월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,8월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,9월 사랑나눔 활동(과천),1차,방위사업청,100.0
2019,"9월 사랑나눔 활동(안양, 의왕)",1차,방위사업청,100.0
2019,Business e-mail Skills,1차,국가공무원인재개발원,100.0
2019,D-Fence (국방 기술보호 수출입 컨설팅),1차,방위사업청,100.0
2019,EVMS 소개,1차,방위사업청,100.0
2019,EVMS 소개,10차,방위사업청,0.0
2019,EVMS 소개,11차,방위사업청,0.0
2019,EVMS 소개,12차,방위사업청,0.0
2019,EVMS 소개,2차,방위사업청,0.0
2019,EVMS 소개,3차,방위사업청,50.0
2019,EVMS 소개,4차,방위사업청,100.0
2019,EVMS 소개,5차,방위사업청,100.0
2019,EVMS 소개,6차,방위사업청,100.0
2019,EVMS 소개,7차,방위사업청,0.0
2019,EVMS 소개,8차,방위사업청,0.0
2019,EVMS 소개,9차,방위사업청,100.0
2019,FMS가격구성 및 대금지불,1차,방위사업청,0.0
