년도,과정명,번호,평가문제,1차 응시율,2차 응시율,3차 응시율,4차 응시율,5차 응시율,6차 응시율,7차 응시율,8차 응시율,9차 응시율
2019,공직가치,1,‘깨어진 창 이론’과 관련된 내용이 아닌 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,2,권위주의적 성격의 일관된 행동형태가 아닌 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,3,스탠리밀그램 실험을 통해 알게 된 파괴적복종의 원인이 아닌 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,4,스탠리 밀그램의 실험을 통해서 알 수 있게 된 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,5,공무원노조의 대표적인 불법행위 유형이 아닌 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,6,다음 사항 중에 사실과 다르게 기술하고 있는 문항은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,7,2008년도 한국법제연구원의 국민대상 설문에서 ‘우리 사회에서 가장 시급히 없애야할 범죄가 무엇이냐’는 질문에 가장 크게 응답한 항목은 무엇입니까?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,8,"2008년도 한국법제연구원의 조사결과에 의할 때, 우리나라 사람들이 법을 지키지 않는 가장 큰 이유는 무엇입니까?",73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,9,"국가경쟁력위원회의 보고서에 따르면, 다음과 같은 이유 때문에 우리나라가 법질서 준수수준이 낮다고 합니다. 그에 해당되지 않는 것은?",73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,10,‘부정부패한 공직자에게 오줌발을 먹여주자’는 다소 격한 구호의 캠페인을 시작했지만 그리 효과를 거두고 있지 못한 나라는 어느 나라입니까?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,11,법 질서준수와 관련된 다음 기술 중에 잘 못된 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,12,사회적 자본에 대한 다음 기술 중에 올바른 설명은 어느 것인가?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,13,다음 중에 행정 신뢰의 긍정적인 기능이다. 해당사항이 없는 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,14,사회적 자본에 대한 설명으로 잘 못된 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,15,다음 기술되는 내용 중에 잘 못된 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,16,소청심사와 관련된 다음 내용 중에서 잘못기술하고 있는 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,17,소청심사 대상 중에 부작위가 성립되기 위한 요건과 관련이 없는 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,18,임용권자가 직위해제를 할 수 있는 경우가 아닌 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
2019,공직가치,19,임용권자가 본인의 의사에도 불구하고 휴직을 명할 수 있는 사유가 아닌 것은?,73.8,74.4,78.6,80.6,79.5,75.0,81.1,75.0,73.5
