번호,국가,제목,등록일자
1476,일본,[정보요청서] 일본 해상자위대 차기 전자정보 수집항공기,2021-09-16
1475,쿠웨이트,[정보요청서] 8년 미만 중고 유류지원함,2021-04-27
1474,인도,[정보요청서] 155mm/52구경 자주포,2021-04-21
1473,미국,[정보요청서] 군용 야간투시경,2021-03-26
1472,필리핀,"[해외방산시장동향] 필리핀, 방위산업단지 조성 예정",2021-03-26
1471,브라질,[정보요청서] 브라질 8×8 차륜형 장갑차 (105mm 이상 주포 장착),2021-03-22
1470,미국,[정보요청서] 미국 육군 레이저 표적지시기,2021-02-18
1469,페루,"[해외방산시장동향] 페루, 2021년 국방 예산 승인",2021-01-15
4,미국,"[해외방산시장동향] 미국, 신형 야간 투시경 사업설명회 추진계획 발표",2021-01-15
10,과테말라,[정보요청서] 미국 야간투시경,2021-01-04
1468,폴란드,[해외입찰정보] 폴란드 탄약,2020-12-31
1467,에스토니아,[해외입찰정보] 에스토니아 수류탄,2020-12-31
1466,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-12-31
1465,알제리,[해외입찰정보] 알제리 함정용 엔진,2020-12-31
1464,사우디아라비아,[해외입찰정보] 사우디 군용 컴퓨터 및 악세서리,2020-12-31
1463,폴란드,[해외입찰정보] 폴란드 방탄보호의,2020-12-31
1462,방글라데시,[해외입찰정보] 방글라데시 전투기용 플레어&amp;체프,2020-12-31
1461,방글라데시,[해외입찰정보] 방글라데시 비가연성 방탄조끼,2020-12-31
1460,태국,[해외입찰정보] 태국 견인 트럭 및 트레일러 차량,2020-12-31
1459,폴란드,[해외입찰정보] 폴란드 군용헬멧,2020-12-31
1458,남아프리카공화국,[해외입찰정보] 남아프리카공화국 얼굴 인식 시스템,2020-12-24
1457,방글라데시,[해외입찰정보] 방글라데시 전술 나이프,2020-12-24
1456,필리핀,[해외입찰정보] 필리핀 76mm 탄약,2020-12-24
1455,싱가포르,[해외입찰정보] 싱가포르 F15용 배터리,2020-12-24
1454,스페인,[해외입찰정보] 스페인 군복,2020-12-24
1453,필리핀,[해외입찰정보] 필리핀 25mm 탄약,2020-12-24
1452,사우디아라비아,"[해외방산시장동향] 사우디아라비아, 2021년 국방예산 삭감",2020-12-24
1451,말레이시아,"[해외방산시장동향] 말레이시아, LCA/FLIT 프로그램 자금 지원 승인",2020-12-24
1450,아일랜드,[해외입찰정보] 아일랜드 군용 장갑차,2020-12-24
1449,독일,[해외입찰정보] 독일 개인 지원용 장구류,2020-12-24
1448,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-12-24
1447,그리스,[해외입찰정보] 그리스 무인항공기,2020-12-24
1446,체코,[해외입찰정보] 체코 화생방 방호복,2020-12-22
1445,체코,[해외입찰정보] 체코 기관총,2020-12-22
1444,독일,[해외입찰정보] 독일 장갑차,2020-12-22
1443,파키스탄,[해외입찰정보] 파키스탄 32배럴 샷건,2020-12-21
1442,스리랑카,[해외입찰정보] 스리랑카 저전압 전류 분배기,2020-12-21
1441,방글라데시,[해외입찰정보] FM 무전기용 부품,2020-12-21
1440,네팔,[해외입찰정보] 네팔 군복 원단,2020-12-21
1439,칠레,[해외입찰정보] 칠레 타겟 및 정찰용 드론,2020-12-21
1438,체코,[해외입찰정보] 체코 화생방 방호의,2020-12-14
1437,슬로바키아,[해외입찰정보] 슬로바키아 보호복,2020-12-14
1436,독일,[해외입찰정보] 독일 장갑차,2020-12-14
1435,체코,[해외입찰정보] 체코 기관총,2020-12-14
1434,싱가포르,[해외입찰정보] 싱가포르 F16용 부품,2020-12-11
1433,필리핀,[해외입찰정보] 필리핀 76mm 고폭약,2020-12-11
1432,방글라데시,[해외입찰정보] 방글라데시 전술보안경,2020-12-11
1431,필리핀,[해외입찰정보] 필리핀 25mm 탄약,2020-12-11
1430,남아프리카공화국,[해외입찰정보] 남아프리카공화국 탄약,2020-12-11
1429,브라질,[해외입찰정보] 브라질 9mm 권총,2020-12-11
1428,루마니아,[해외입찰정보] 루마니아 지휘 및 연락 차량,2020-12-07
1427,프랑스,[해외입찰정보] 프랑스 군용 헬멧,2020-12-07
1426,영국,[해외입찰정보] 영국 군복,2020-12-07
1425,스페인,[해외입찰정보] 스페인 군용차량 부품,2020-12-07
1424,태국,[해외입찰정보] 태국 샷건,2020-12-04
1423,브라질,[해외입찰정보] 브라질 연막탄,2020-12-04
1422,방글라데시,[해외입찰정보] 방글라데시 대공화기 시뮬레이션 시스템,2020-12-04
1421,남아프리카공화국,[해외입찰정보] 남아프리카공화국 치안유지장비,2020-12-04
1420,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-12-04
1419,페루,[해외입찰정보] 싱가포르 F16용 부품,2020-12-04
1418,슬로베니아,[해외입찰정보] 슬로베니아 탄약 및 관련 부품,2020-11-27
1417,싱가포르,[해외입찰정보] 싱가포르 F15용 부품,2020-11-27
1416,남아프리카공화국,[해외입찰정보] 남아프리카공화국 치안유지장비,2020-11-27
1415,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-11-27
1414,루마니아,[해외입찰정보] 루마니아 권총,2020-11-27
1413,페루,[해외입찰정보] 페루 치안유지장비,2020-11-27
1412,남아프리카공화국,[해외입찰정보] 남아프리카공화국 소총 등,2020-11-27
1411,핀란드,[해외입찰정보] 핀란드 탄약통,2020-11-27
1410,몬테네그로,[해외입찰정보] 폴란드 군용차량 및 관련부품,2020-11-27
8,방글라데시,[해외입찰정보] 방글라데시 훈련용 수류탄 등,2020-11-27
1409,불가리아,[해외입찰정보] 불가리아 개인용 장구류,2020-11-21
1408,그리스,[해외입찰정보] 그리스 군용 위장자켓,2020-11-21
1407,루마니아,[해외입찰정보] 루마니아 지휘 및 연락 차량,2020-11-21
1406,핀란드,[해외입찰정보] 핀란드 방탄조끼,2020-11-21
1405,싱가포르,[해외입찰정보] 싱가포르 F16부품,2020-11-20
1404,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-11-20
1403,방글라데시,[해외입찰정보] 방글라데시 윤활유,2020-11-20
1402,칠레,[해외입찰정보] 칠레 연습용 탄약,2020-11-20
1401,말레이시아,[해외입찰정보] 말레이시아 전자 사격 시스템,2020-11-20
1400,태국,[해외입찰정보] 태국 샷건,2020-11-20
1399,콜롬비아,[해외입찰정보] 콜롬비아 샷건용 탄약,2020-11-13
1398,벨기에,[해외입찰정보] 벨기에 탄약,2020-11-13
1397,폴란드,[해외입찰정보] 폴란드 155mm 시험용 탄약,2020-11-13
1396,방글라데시,[해외입찰정보] 방글라데시 유류저장통,2020-11-13
1395,콩고,[해외입찰정보] 콩고 장갑 수송차,2020-11-13
1394,방글라데시,[해외입찰정보] 방글라데시 발전기,2020-11-13
1393,스페인,[해외입찰정보] 스페인 소형화기,2020-11-13
1392,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-11-13
1391,칠레,[해외입찰정보] 칠레 가상 슈팅 시스템,2020-11-13
1390,덴마크,[해외입찰정보] 덴마크 4륜구동 차량,2020-11-13
1389,멕시코,[해외입찰정보] 멕시코 훈련용 타겟,2020-11-06
1388,이탈리아,[해외입찰정보] 이탈리아 군용항공기,2020-11-06
1387,키프로스,[해외입찰정보] 키프로스 4륜구동차량,2020-11-06
