사업명,부품관리번호,재고번호,군급분류,품명,도면번호,도면부품번호,규격번호,계약업체,최종수정일
K-2 전차,M00043959,375017476,5340.0,"멈치,완충용",60702464,60702464,,덕인산업,2021-07-08
K-2 전차,M00043960,375018648,3120.0,"부싱,슬리브형",60702507,60702507,,주식회사 천명하이텍,
K-2 전차,M00043962,375019231,5315.0,"핀,직선형,유두형",60702512,60702512,,건웅테크 주식회사,
K-2 전차,M00043964,375018686,5340.0,"그립,손잡이용",60702520,60702520,,현대로템 주식회사,
K-2 전차,M00043967,375018690,5365.0,심,60702529,60702532,,덕인산업,2021-06-14
K-2 전차,M00043052,375189786,5330.0,"시일,비금속 특수단면용",61502021,61502021,,한양산업,2021-06-14
K-2 전차,M00043050,375189784,5360.0,"스프링,판형",61502016,61502016,,(주)서부에스코,
K-2 전차,M00043053,375187841,2510.0,"힌지 블럭 조립체,해치용",61502023,61502023,,현대로템 주식회사,
K-2 전차,M00043950,375550024,5330.0,"시일,비금속 원형 단면형",60702223,60702223,,현대로템 주식회사,
K-2 전차,M00043951,375011558,5365.0,심,60702226,60702226,,현대로템 주식회사,
K-2 전차,M00043957,375018147,1015.0,판,60702238,60702238,,현대로템 주식회사,
K-2 전차,M00043972,375011557,5365.0,심,60702622,60702622,,현대로템 주식회사,
K-2 전차,M51345534,375013737,5310.0,"와셔,평면형",60799301,60799325,,태창정밀,
K-2 전차,M00043075,375189791,5360.0,"스프링,판형",61502204,61502204,,현대로템 주식회사,
K-2 전차,M00043112,375189797,5330.0,"시일,비금속 특수단면용",61502217,61502217,,한양산업,2021-06-14
K-2 전차,M00043951,375011558,5365.0,심,60702226,60702226,,현대로템 주식회사,
K-2 전차,M00043969,375011964,2540.0,"손잡이,햇치 덮개용",60702620,60702620,,삼호정밀,
K-2 전차,M00043972,375011557,5365.0,심,60702622,60702622,,현대로템 주식회사,
K-2 전차,M00043974,375011968,5305.0,나비나사,60702630,60702630,,태창정밀,
K-2 전차,M00044107,375013752,5340.0,"덮개,입구용",60705409,60705409,,현대로템 주식회사,
K-2 전차,M00044109,375013271,5330.0,개스킷,60705410,60705410,,한양산업,2021-06-14
K-2 전차,M51365832,375165089,2350.0,"전차,전투용,무한궤도식",61500001,61500001,,현대로템 주식회사,
K-2 전차,M00039933,375236332,5306.0,"볼트,기계용",61502748,61502748-3,,태창정밀,
