순번,업무구분,입찰구분,공고일자,입찰건명(사업명),발주기관
90,물품,경쟁입찰,2020-06-05,"해안경계용 수직이착륙 드론,회전익(신속시범)",무인총괄계약팀
91,물품,경쟁입찰,2020-06-05,원거리 정찰용 소형무인기(신속시범),무인총괄계약팀
92,물품,경쟁입찰,2020-06-05,"감시정찰용 수직이착륙 드론,고정익(신속시범)",무인총괄계약팀
93,물품,경쟁입찰,2020-06-05,휴대용 안티드론 건(신속시범),무인총괄계약팀
87,물품,경쟁입찰,2020-06-24,"해안경계용 수직이착륙 드론,회전익(신속시범)",무인총괄계약팀
88,물품,경쟁입찰,2020-06-24,"감시정찰용 수직이착륙 드론,고정익(신속시범)",무인총괄계약팀
89,물품,경쟁입찰,2020-06-24,원거리 정찰용 소형무인기(신속시범),무인총괄계약팀
86,물품,경쟁입찰,2020-07-01,휴대용 안티드론 건(신속시범),무인총괄계약팀
74,물품,경쟁입찰,2020-10-19,웨어러블 수중탐색 장비,미래전력사업전력운영계약팀
75,물품,경쟁입찰,2020-10-19,RADAR 연동 안티드론 통합 솔루션,미래전력사업전력운영계약팀
76,물품,경쟁입찰,2020-10-19,열영상 도트복합조준장비,미래전력사업전력운영계약팀
77,물품,경쟁입찰,2020-10-19,자폭 무인기,미래전력사업전력운영계약팀
78,물품,경쟁입찰,2020-10-19,상용 스마트폰 기반 소부대전투지휘체계,미래전력사업전력운영계약팀
79,물품,경쟁입찰,2020-10-19,초연결 기반 스마트 개인 감시체계,미래전력사업전력운영계약팀
80,물품,경쟁입찰,2020-10-19,소형 정찰 타격 복합형 드론,미래전력사업전력운영계약팀
81,물품,경쟁입찰,2020-10-19,소총 조준사격 드론,미래전력사업전력운영계약팀
82,물품,경쟁입찰,2020-10-19,다목적 무인차량,미래전력사업전력운영계약팀
83,물품,경쟁입찰,2020-10-19,군 무전기 난청 극복 장기체공 드론,미래전력사업전력운영계약팀
84,물품,경쟁입찰,2020-10-19,지능형 항재밍 센서,미래전력사업전력운영계약팀
85,물품,경쟁입찰,2020-10-19,TICN 전술이동통신망 중계기,미래전력사업전력운영계약팀
68,물품,경쟁입찰,2020-11-06,TICN 전술이동통신망 중계기,미래전력사업전력운영계약팀
69,물품,경쟁입찰,2020-11-06,자폭 무인기,미래전력사업전력운영계약팀
70,물품,경쟁입찰,2020-11-06,지능형 항재밍 센서,미래전력사업전력운영계약팀
71,물품,경쟁입찰,2020-11-06,웨어러블 수중탐색 장비,미래전력사업전력운영계약팀
72,물품,경쟁입찰,2020-11-06,소총 조준사격 드론,미래전력사업전력운영계약팀
73,물품,경쟁입찰,2020-11-06,소형 정찰 타격 복합형 드론,미래전력사업전력운영계약팀
67,물품,경쟁입찰,2020-11-10,다목적 무인차량,미래전력사업전력운영계약팀
65,물품,경쟁입찰,2020-11-19,군 무전기 난청 극복 장기체공 드론,미래전력사업전력운영계약팀
66,물품,경쟁입찰,2020-11-19,웨어러블 수중탐색 장비,미래전력사업전력운영계약팀
64,물품,기타,2020-11-24,(수정)2021년 신속시범획득 사업 공모,방위사업청 (신속획득사업팀)
63,물품,경쟁입찰,2020-12-03,웨어러블 수중탐색 장비,미래전력사업전력운영계약팀
62,물품,기타,2020-12-04,수직이착륙형무인항공기사업 관련 신기술 공모 공고문,방위사업청 (미래전력사업총괄팀)
61,물품,경쟁입찰,2020-12-07,소총 조준사격 드론(2차),미래전력사업전력운영계약팀
60,물품,경쟁입찰,2020-12-14,소총 조준사격 드론(2차),미래전력사업전력운영계약팀
59,물품,기타,2020-12-28,신기술 공모 공고문(9개 기술분야),방위사업청 (신속획득사업팀)
58,물품,기타,2021-03-15,함대공유도탄Ⅱ 핵심기술 발굴을위한 신기술공고문,미래전력사업총괄팀
55,물품,기타,2021-03-24,2021년 신속시범획득 사업 향후 일정 공지,신속획득사업팀
56,물품,기타,2021-03-24,(수정)2021년 신속시범획득 사업 공모,신속획득사업팀
57,물품,기타,2021-03-24,TOD의 AI 경고기능 기술 확인을 위한 신기술 공모,신속획득사업팀
54,물품,기타,2021-04-01,헬기 유무인 복합체계사업 활용을 위한 신기술 공모,신속획득사업팀
53,물품,기타,2021-04-16,"수소 파워팩 드론, 다족 보행로봇, 비행선박 입찰공고",미래전력사업전력운영계약팀
52,물품,기타,2021-04-27,정찰용 소형 지상로봇 사업 관련 신기술 공모 공고,신속획득사업팀
51,물품,기타,2021-06-10,「2021년 신속시범획득 사업 공모」 향후 일정 공지,신속획득사업팀
41,용역,기타,2021-06-14,['21핵심]방호/임무장비 연동 상하지 착용로봇 설계 및 운용기술 개발,국방기술진흥연구소
42,용역,기타,2021-06-14,['21핵심]라이다-영상 신호 융합 기술,국방기술진흥연구소
43,용역,기타,2021-06-14,['21핵심]우주항공 국방소재용 BNNT 복합소재 특화연구실,국방기술진흥연구소
44,용역,기타,2021-06-14,['21핵심]광각 고해상도 라이다 기술,국방기술진흥연구소
45,용역,기타,2021-06-14,['21핵심]전장정보 기반 실시간 자동임무 실행/수정기술 개발,국방기술진흥연구소
46,용역,기타,2021-06-14,['21핵심]복안영상기반의 적응형 환경인식 기술 개발,국방기술진흥연구소
47,용역,기타,2021-06-14,['21핵심]군 지상무인체계 적용 기술,국방기술진흥연구소
48,용역,기타,2021-06-14,['21핵심]코디어라이트계 레이돔 제조기술 연구,국방기술진흥연구소
49,용역,기타,2021-06-14,['21핵심]지능형 신호탐지 기술,국방기술진흥연구소
50,용역,기타,2021-06-14,['21핵심]인공지능 기반 스마트 CBRNE 센서 특화연구실,국방기술진흥연구소
31,용역,기타,2021-06-21,['21핵심]위성용 SAR 급전 배열 안테나 핵심 구성품 개발,국방기술진흥연구소
32,용역,기타,2021-06-21,['21핵심]함정 추진체계 상태기반 진단 SW 개발,국방기술진흥연구소
33,물품,기타,2021-06-21,CCTV의 AI 경고기능 관련 신기술 공모 공고문,신속획득사업팀
34,용역,기타,2021-06-21,['21핵심]고효율 AI 반도체 기반 고속고정밀 사물인식 및 추적지원 플랫폼 개발,국방기술진흥연구소
35,용역,기타,2021-06-21,['21핵심]수압보상모터 제작/검증 기술 개발,국방기술진흥연구소
36,용역,기타,2021-06-21,['21핵심]광대역 저피탐 UAV 기체구조 기술연구,국방기술진흥연구소
37,용역,기타,2021-06-21,['21핵심]가압형 연료프로세서 및 디젤 촉매기술,국방기술진흥연구소
38,용역,기타,2021-06-21,['21핵심]지리공간정보 클라우드 기반 실세계 현실화 기술,국방기술진흥연구소
39,용역,기타,2021-06-21,['21핵심]사이버전 훈련 레드팀/블루팀 자동화 기술,국방기술진흥연구소
40,용역,기타,2021-06-21,['21핵심]위성용 SAR 전개형 고안정 반사판 안테나 개발,국방기술진흥연구소
30,물품,기타,2021-06-30,OTA관련 신기술 공모,방위사업청(신속획득사업팀)
29,물품,기타,2021-07-28,2021년 신속시범획득 사업 향후일정 공지,첨단기술신속사업팀
28,용역,기타,2021-08-04,['21핵심][재공고]복합형회전익용터보샤프트엔진(가스발생기)로터조립체 운용안정성 확보기술,국방기술진흥연구소
