연도,지역,구분,에볼라바이러스병,마버그열,라싸열,크리미안콩고출혈열,남아메리카출혈열,리프트밸리열,두창,페스트,탄저,보툴리눔독소증,야토병,중증급성호흡기증후군(SARS),중동호흡기증후군(MERS),동물인플루엔자 인체감염증,신종인플루엔자,디프테리아,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독,매독(선천성),@엠폭스
2019,서울특별시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9783.0,22,1.0,19.0,10.0,51.0,31.0,3139.0,66,2033,0.0,2.0,0.0,4.0,0.0,134.0,0.0,1250.0,1,4744.0,0.0,1.0,67.0,7.0,1532.0,100,147.0,6.0,0.0,1.0,115.0,9,1.0,0.0,13.0,8.0,0.0,74.0,6.0,0.0,10.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,
2019,부산광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3915.0,6,0.0,9.0,5.0,13.0,3.0,497.0,33,878,0.0,0.0,0.0,0.0,0.0,30.0,2.0,425.0,0,1836.0,0.0,1.0,34.0,0.0,1087.0,14,23.0,4.0,0.0,0.0,279.0,8,0.0,0.0,18.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
2019,대구광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4525.0,15,0.0,2.0,2.0,10.0,5.0,194.0,24,689,0.0,0.0,0.0,0.0,0.0,6.0,1.0,226.0,0,977.0,0.0,4.0,10.0,3.0,412.0,2,15.0,0.0,0.0,0.0,69.0,2,0.0,0.0,3.0,1.0,0.0,16.0,8.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,
2019,인천광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3809.0,9,0.0,8.0,1.0,9.0,12.0,995.0,20,795,0.0,1.0,0.0,1.0,0.0,32.0,0.0,387.0,0,1206.0,0.0,1.0,21.0,1.0,893.0,87,44.0,0.0,0.0,2.0,49.0,5,0.0,0.0,10.0,2.0,0.0,18.0,3.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,
2019,광주광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.0,2,0.0,0.0,3.0,4.0,9.0,161.0,29,466,0.0,0.0,0.0,0.0,0.0,8.0,0.0,401.0,0,181.0,0.0,2.0,6.0,2.0,224.0,4,14.0,0.0,0.0,1.0,79.0,4,0.0,0.0,8.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
2019,대전광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.0,23,0.0,6.0,2.0,3.0,2.0,2670.0,16,468,0.0,1.0,0.0,0.0,0.0,10.0,0.0,323.0,0,264.0,0.0,2.0,14.0,1.0,189.0,5,3.0,0.0,0.0,0.0,117.0,0,0.0,0.0,1.0,3.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,
2019,울산광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1941.0,3,0.0,3.0,1.0,3.0,6.0,85.0,10,492,0.0,0.0,0.0,0.0,0.0,4.0,0.0,308.0,0,294.0,0.0,1.0,6.0,0.0,150.0,2,4.0,1.0,0.0,2.0,142.0,1,0.0,0.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,
2019,경기도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23517.0,69,0.0,24.0,14.0,31.0,29.0,5406.0,74,4636,0.0,0.0,0.0,6.0,0.0,142.0,0.0,2178.0,0,2498.0,0.0,5.0,84.0,8.0,1999.0,294,129.0,9.0,0.0,2.0,289.0,20,0.0,0.0,51.0,17.0,0.0,84.0,19.0,0.0,6.0,0.0,1.0,3.0,42.0,0.0,0.0,0.0,0.0,
2019,강원특별자치도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1782.0,3,0.0,1.0,2.0,1.0,4.0,268.0,5,529,0.0,0.0,0.0,2.0,0.0,30.0,0.0,125.0,0,372.0,0.0,0.0,14.0,2.0,210.0,15,14.0,0.0,0.0,0.0,29.0,8,0.0,0.0,16.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,
2019,충청북도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,1,0.0,2.0,3.0,2.0,7.0,1079.0,11,433,0.0,0.0,0.0,0.0,0.0,10.0,0.0,121.0,0,109.0,0.0,0.0,19.0,1.0,206.0,7,14.0,2.0,0.0,0.0,96.0,6,0.0,0.0,16.0,2.0,0.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
2019,충청남도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009.0,3,0.0,5.0,0.0,2.0,4.0,1437.0,20,721,0.0,0.0,0.0,1.0,0.0,17.0,0.0,322.0,0,236.0,0.0,3.0,20.0,4.0,381.0,9,13.0,1.0,0.0,0.0,442.0,24,0.0,0.0,52.0,0.0,0.0,7.0,20.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,
2019,전라북도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3207.0,5,0.0,3.0,2.0,2.0,5.0,558.0,16,740,0.0,0.0,0.0,0.0,0.0,24.0,0.0,239.0,2,391.0,0.0,1.0,15.0,0.0,343.0,3,13.0,4.0,0.0,1.0,401.0,8,0.0,0.0,58.0,5.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,
2019,전라남도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3106.0,11,0.0,2.0,0.0,10.0,13.0,164.0,32,617,0.0,1.0,0.0,0.0,0.0,13.0,0.0,239.0,0,347.0,0.0,2.0,20.0,2.0,685.0,0,18.0,7.0,0.0,1.0,667.0,13,0.0,0.0,76.0,4.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,
