계약번호,계약명,업무구분명,계약체결형태명,계약체결방법명,계약체결일자,계약기간,계약기관구분명,계약기관명,계약기관담당부서명,계약기관담당자명,수요기관구분명,수요기관명,대표업체명
KD71AB04O01,Repair for Weapon and Radio,외자,내역입찰(최저가),수의계약,2017-02-01,2017-02-01~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),김동환,국가기관,방위사업청,AEROMETALS
KD73AB04O01,HH-60 부품정비 한도액계약,외자,내역입찰(최저가),수의계약,2017-02-02,2017-02-02~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),장혜진,국가기관,방위사업청,ELBIT SYSTEMS LTD
KD71AB04O02,REPAIR FOR CH-47 HOIST,외자,내역입찰(최저가),수의계약,2017-02-10,2017-02-10~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),윤선중,국가기관,방위사업청,AIR ASIA COMPANY LIMITED
KD71BB04O01,REPAIR FOR HALO,외자,내역입찰(최저가),수의계약,2017-02-10,2017-02-10~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),윤선중,국가기관,방위사업청,Leonardo UK Ltd
KD72BB04O01,30mm 골키퍼 부품정비,외자,내역입찰(최저가),수의계약,2017-02-13,2017-02-13~2019-12-15,국가기관,방위사업청,대정부계약팀(구:19.09.16),이영림,국가기관,방위사업청,THALES NEDERLAND B.V
KD73AH04O01,F-15K 항공기 PBL 2차 사업,외자,내역입찰(최저가),수의계약,2017-02-13,2017-02-13~2022-02-28,국가기관,방위사업청,대정부계약팀(구:19.09.16),김지웅,국가기관,방위사업청,THE BOEING COMPANY
KD71AM08P01,S/P for Weapon and Radio,외자,리스입찰,수의계약,2017-02-14,2017-02-14~2018-12-31,국가기관,방위사업청,국제부품계약팀(구:19.09.16),정수진,국가기관,방위사업청,AEROMETALS
KD73AB04O02,Repair for B-412 parts,외자,내역입찰(최저가),수의계약,2017-02-14,2017-02-14~2018-12-31,국가기관,방위사업청,대정부계약팀(구:19.09.16),심연주,국가기관,방위사업청,AIR ASIA COMPANY LIMITED
KD71FB04O01,REPAIR FOR CHUNMA PARTS,외자,내역입찰(최저가),수의계약,2017-02-17,2017-02-17~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),김동환,국가기관,방위사업청,Thales Las France SAS
KD71DB04O01,REPAIR FOR KGSR(TPS-224K),외자,내역입찰(최저가),수의계약,2017-02-20,2017-02-20~2018-11-30,국가기관,방위사업청,대정부계약팀(구:19.09.16),김누리,국가기관,방위사업청,Thales Electronics Systems GmbH
