집행예정월,판단번호,대표품명,집행유형,계약방법,집행기관,예산금액,입찰방법,진행상태,담당자명
2017-01-01,PCA97261001,ATS-II용 선체고정음탐기,장비,일반경쟁,국제장비계약팀(구:19.09.16),18075000000,총액제,2차공고의뢰중,정성민
2017-02-13,DAH47039001,F-15K 항공기 PBL 2차사업,기타,수의계약,대정부계약팀(구:19.09.16),4.04E+11,총액제,2차공고의뢰중,김명현
2017-03-01,PCD87112002,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),509822795.5,단가제,2차공고의뢰중,김현승
2017-03-01,PCD87112001,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),391920598,단가제,2차공고의뢰중,김현승
2017-03-01,PCD87113002,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),2504838,단가제,2차공고의뢰중,김현승
2017-03-01,PCD87113001,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),223679393,단가제,2차공고의뢰중,김현승
2017-03-01,PCM77101002,무레나 수리부속,한도액부품,수의계약,국제부품계약팀(구:19.09.16),15655076.5,총액제,2차공고의뢰중,김현승
2017-03-01,PCD87114002,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),378803571.5,단가제,2차공고의뢰중,김현승
2017-03-01,PCM77101004,무레나 수리부속,한도액부품,수의계약,국제부품계약팀(구:19.09.16),2672091907,총액제,2차공고의뢰중,김현승
2017-03-01,PCD87115002,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),8901000,단가제,2차공고의뢰중,김현승
2017-03-01,PCD87113003,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),936933290,단가제,2차공고의뢰중,김현승
2017-03-01,PCD87114001,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),348678942,단가제,2차공고의뢰중,김현승
2017-03-01,PCM77103002,함정기관 부속,한도액부품,수의계약,국제부품계약팀(구:19.09.16),426427061,총액제,2차공고의뢰중,김현승
2017-03-01,PCD87111002,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),57839514.5,단가제,2차공고의뢰중,김현승
2017-03-01,PCM77102002,MAAG기어부속,한도액부품,수의계약,국제부품계약팀(구:19.09.16),356256280.5,총액제,2차공고의뢰중,김현승
2017-03-01,PCD87111001,함정기관 부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),98317180,단가제,2차공고의뢰중,김현승
2017-03-21,PCE97019002,통신전자장비 기술용역,기술용역,수의계약,국제장비계약팀(구:19.09.16),304363979.5,총액제,2차공고의뢰중,정성민
2017-03-30,PBC97025001,자석폭약,물자,2단계경쟁(동시),국제장비계약팀(구:19.09.16),1330388448,총액제,2차공고의뢰중,정성민
2017-04-03,DAB97044002,C-130J 프로펠러 해외 창정비,장비정비,수의계약,국제장비계약팀(구:19.09.16),2634137560,총액제,2차공고의뢰중,
2017-04-03,DAE97047002,C-130J 기술용역,기술용역,수의계약,국제장비계약팀(구:19.09.16),2183862650,총액제,2차공고의뢰중,
2017-04-28,WMA97114001,K5방독면 교육훈련용 정밀측정장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),116803260,총액제,2차공고의뢰중,
2017-04-28,BMA97111001,K5방독면 야전정비용 정밀측정장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),1580092440,총액제,2차공고의뢰중,
2017-04-28,WMA97115001,K5방독면 야전정비용 정밀측정장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),385388400,총액제,2차공고의뢰중,
2017-04-28,BMA97110001,K5방독면 교육훈련용 정밀측정장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),433840680,총액제,2차공고의뢰중,
2017-04-28,7MA97116001,K5방독면 교육훈련용 정밀측정장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),83430900,총액제,2차공고의뢰중,
2017-04-28,DMA97112001,K5방독면 교육훈련용 정밀측정장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),200234160,총액제,2차공고의뢰중,
2017-04-28,DMA97113001,K5방독면 야전정비용 정밀측정장비,장비,2단계경쟁(동시),국제장비계약팀(구:19.09.16),154155360,총액제,2차공고의뢰중,
2017-04-30,PCD87614002,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),387405341.5,단가제,2차공고의뢰중,나준채
2017-04-30,BMD87005002,화학장비부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),88252656,단가제,2차공고의뢰중,이동국
2017-04-30,BED87007002,일반장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),300468504,단가제,2차공고의뢰중,이동국
2017-04-30,DAM77964002,ACMI POD 부품 구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),149614816,총액제,2차공고의뢰중,김소영
2017-04-30,PCD87613002,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),232321930.5,단가제,2차공고의뢰중,나준채
2017-04-30,BED87003002,일반장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),198802282.5,단가제,2차공고의뢰중,이동국
2017-04-30,DAB47018001,VCN-235 부품정비,장비정비,수의계약,대정부계약팀(구:19.09.16),1371579481.5,총액제,2차공고의뢰중,김종현
2017-04-30,PCD87611002,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),103056019.5,단가제,2차공고의뢰중,나준채
2017-04-30,PCD87614001,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),153118808.5,단가제,2차공고의뢰중,나준채
2017-04-30,9RM77001001,향백사업 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),1040173850,총액제,2차공고의뢰중,이동국
2017-04-30,BED87002002,일반장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),923689936,단가제,2차공고의뢰중,이동국
2017-04-30,BED87005002,일반장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),86370129,단가제,2차공고의뢰중,이동국
2017-04-30,PCD87611001,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),149944590,단가제,2차공고의뢰중,나준채
2017-04-30,BMD87004002,화학장비부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),29298228,단가제,2차공고의뢰중,이동국
2017-04-30,BED87006002,일반장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),168812329.5,단가제,2차공고의뢰중,이동국
2017-04-30,PCD87613001,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),226367391.5,단가제,2차공고의뢰중,나준채
2017-04-30,BAD87910002,500MD 부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),9807292,단가제,2차공고의뢰중,서재영
2017-04-30,PCD87612001,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),149430057,단가제,2차공고의뢰중,나준채
2017-04-30,BED87001002,일반장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),769085822,단가제,2차공고의뢰중,이동국
2017-04-30,PCD87612002,해군함정부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),50255713,단가제,2차공고의뢰중,나준채
2017-04-30,DAM77026001,VCN-235 부품구매,한도액부품,수의계약,국제부품계약팀(구:19.09.16),2438686745.5,총액제,2차공고의뢰중,강현숙
2017-04-30,BAD87910001,500MD 부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),3682875414,단가제,2차공고의뢰중,서재영
2017-04-30,BAD87910003,500MD 부품,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),3964694483,단가제,2차공고의뢰중,서재영
2017-04-30,BED87008002,일반장비부속,(확정)부품,일반경쟁,국제부품계약팀(구:19.09.16),70980530,단가제,2차공고의뢰중,이동국
