연번,업체명
1,고려화공㈜
2,기아㈜
3,다산기공㈜
4,단암시스템즈㈜
5,대신금속㈜
6,대양전기공업㈜
7,덕산넵코어스㈜
8,두산에너빌리티㈜
9,두원중공업㈜
10,삼양화학공업㈜
11,삼영이엔씨㈜
12,신정개발특장차㈜
13,아이쓰리시스템㈜
14,에스앤티다이내믹스㈜
15,에스앤티모티브㈜
16,에스지생활안전㈜
17,에스지솔루션㈜
18,에스케이오션플랜트㈜
19,에스티엑스엔진㈜
20,에이치디현대인프라코어㈜
21,에이치디현대중공업㈜
22,엘아이지넥스원㈜
23,엘에스엠트론㈜
24,연합정밀㈜
25,이화전기공업㈜
26,인소팩㈜
27,㈜강남
28,㈜광림
29,㈜다윈프릭션
30,㈜대명
31,㈜대영에스텍
32,㈜대한항공
33,㈜데크카본
34,㈜동양정공
35,㈜동인광학
36,㈜미래엠텍
37,㈜비츠로밀텍
38,㈜빅텍
39,㈜삼양정밀화학
40,㈜삼양컴텍
41,㈜삼정터빈
42,㈜삼정티비엠
43,㈜삼주기업
44,㈜성진테크윈
45,㈜세아항공방산소재
46,㈜스페이스프로
47,㈜스페코
48,㈜시공사
49,㈜쎄트렉아이
50,㈜씨앤지
51,㈜아이펙
52,㈜에비오시스테크놀러지스
53,㈜에이치제이중공업
54,㈜에이치케이씨
55,㈜엠앤씨솔루션
56,㈜우경광학
57,㈜우리별
58,㈜유아이헬리콥터
59,㈜유텍
60,㈜은성사
61,㈜이오시스템
62,㈜인피니티에코
63,㈜진영정기
64,㈜캐스
65,㈜코리아디펜스인더스트리
66,㈜티에스택
67,㈜풍산
68,㈜풍산에프앤에스
69,㈜한컴라이프케어
70,㈜현대제이콤
71,㈜휴니드테크놀러지스
72,코오롱스페이스웍스㈜
73,퍼스텍㈜
74,평화산업㈜
75,한국특수전지㈜
76,한국항공우주산업㈜
77,한일단조공업㈜
78,한화시스템㈜
79,한화에어로스페이스㈜
80,한화오션㈜
81,현대로템㈜
82,현대위아㈜
83,현대트랜시스㈜
84,화인정밀㈜
85,효성중공업㈜
