연도,부령조항과,부령조항,질병명,계,4급,5급,6급
2024,내과,1061006-다-4)-나)     ,자가면역질환,1 ,1 ,,
2024,내과,1061006-라-2)          ,척추관절병증,2 ,2 ,,
2024,내과,1061006-라-3)          ,척추관절병증,2 ,,2 ,
2024,내과,1061011-가-2)-가)     ,그레이브씨병,20 ,20 ,,
2024,내과,1061011-가-2)-나)-(2) ,그레이브씨병,2 ,2 ,,
2024,내과,1061012-다             ,갑상샘 기능저하증,7 ,7 ,,
2024,내과,1061019-가             ,당뇨병,375 ,375 ,,
2024,내과,1061019-나             ,당뇨병,6 ,,6 ,
2024,내과,1061019-다             ,당뇨병,4 ,,4 ,
2024,내과,1061020-라             ,통풍,1 ,,1 ,
2024,내과,1061022-가             ,그 밖에 확인된 내분비·대사·유전·면역질환,6 ,6 ,,
2024,내과,1061022-나             ,그 밖에 확인된 내분비·대사·유전·면역질환,3 ,,3 ,
2024,내과,1061027-가             ,혈액응고장애,3 ,,3 ,
2024,내과,1061027-나             ,혈액응고장애,1 ,,,1.0
2024,내과,1061027-다             ,혈액응고장애,2 ,,,2.0
2024,내과,1061028-가-2)          ,자반증,7 ,,7 ,
2024,내과,1061029                 ,백혈병,1 ,,,1.0
2024,내과,1061029의2             ,골수이형성증후군,1 ,,,1.0
2024,내과,1061030                 ,악성 림프종,1 ,,,1.0
2024,내과,1061033-나-2)          ,사구체신염,11 ,11 ,,
2024,내과,1061033-나-3)          ,사구체신염,2 ,2 ,,
2024,내과,1061033-나-4)          ,사구체신염,10 ,,10 ,
2024,내과,1061033-다             ,사구체신염,8 ,,8 ,
2024,내과,1061035-나             ,신증후군,1 ,,1 ,
2024,내과,1061036-가             ,만성신부전,1 ,,1 ,
2024,내과,1061040-다             ,기관지 천식,75 ,75 ,,
2024,내과,1061040-마             ,기관지 천식,7 ,7 ,,
2024,내과,1061044-다-3)          ,폐결핵,1 ,1 ,,
2024,내과,1061047-가             ,미주신경성 실신,8 ,8 ,,
2024,내과,1061048-다             ,본태성 고혈압,12 ,12 ,,
2024,내과,1061051-나             ,조기흥분증후군,3 ,3 ,,
2024,내과,1061052-다-2)          ,부정맥,2 ,2 ,,
2024,내과,1061052-라-2)          ,부정맥,1 ,1 ,,
2024,내과,1061052-마-1)          ,부정맥,1 ,1 ,,
2024,내과,1061052-사             ,부정맥,1 ,,,1.0
2024,내과,1061056-나-1)-나)     ,심장판막질환,2 ,2 ,,
2024,내과,1061056-나-1)-다)     ,심장판막질환,1 ,,1 ,
2024,내과,1061057-가             ,선천성 심장질환,2 ,2 ,,
2024,내과,1061057-나-2)          ,선천성 심장질환,1 ,1 ,,
2024,내과,1061057-라-1)          ,선천성 심장질환,2 ,2 ,,
2024,내과,1061060-다             ,심근질환,1 ,,,1.0
2024,내과,1061063-가             ,식도협착,1 ,1 ,,
2024,내과,1061064-나-2)          ,염증성 장질환,79 ,,79 ,
2024,내과,1061068-나-2)          ,간염,4 ,4 ,,
2024,내과,1061068-나-3)          ,간염,15 ,15 ,,
2024,내과,1061068-라-2)-나)-(2) ,간염,1 ,1 ,,
2024,내과,1061068-마-4)          ,간염,1 ,,1 ,
2024,내과,1061074-나-1)          ,췌장염,1 ,,1 ,
2024,내과,1061074-다             ,췌장염,1 ,1 ,,
2024,내과,1061079-가             ,아나필락시스,2 ,2 ,,
2024,내과,1061079-나             ,아나필락시스,2 ,,2 ,
2024,내과,1139001                 ,내과 관찰결과 경과관찰이 필요한 경우,1 ,1 ,,
2024,내과,1139006-가             ,자가면역질환,9 ,,9 ,
2024,내과,1139006-나             ,자가면역질환,7 ,,,7.0
2024,내과,1139006-다-1)          ,자가면역질환,4 ,4 ,,
2024,내과,1139006-다-2)          ,자가면역질환,2 ,,2 ,
2024,내과,1139006-다-4)-나)     ,자가면역질환,31 ,31 ,,
2024,내과,1139006-다-4)-다)     ,자가면역질환,9 ,,9 ,
2024,내과,1139006-라-2)          ,자가면역질환,14 ,14 ,,
2024,내과,1139006-라-3)          ,자가면역질환,63 ,,63 ,
2024,내과,1139006-라-4)          ,자가면역질환,3 ,,,3.0
2024,내과,1139006-바-3)          ,자가면역질환,1 ,1 ,,
2024,내과,1139009-가             ,면역결핍질환,10 ,,,10.0
2024,내과,1139009-나-3)          ,면역결핍질환,4 ,,4 ,
2024,내과,1139011-가-2)-가)     ,그레이브스병,65 ,65 ,,
2024,내과,1139011-가-2)-나)-(2) ,그레이브스병,1 ,1 ,,
2024,내과,1139012-다             ,갑상샘 기능저하증,83 ,83 ,,
2024,내과,1139015-나             ,요붕증,4 ,,4 ,
2024,내과,1139016-가             ,뇌하수체 기능저하증,4 ,4 ,,
2024,내과,1139016-나             ,뇌하수체 기능저하증,11 ,,11 ,
2024,내과,1139017-가-1)          ,부갑상샘 기능 장애,1 ,1 ,,
2024,내과,1139017-가-2)          ,부갑상샘 기능 장애,1 ,,1 ,
2024,내과,1139019-가             ,당뇨병,428 ,428 ,,
2024,내과,1139019-나             ,당뇨병,29 ,,29 ,
2024,내과,1139019-다             ,당뇨병,113 ,,113 ,
2024,내과,1139021                 ,기능성 내분비계 종양 또는 증식증,10 ,,10 ,
2024,내과,1139022-가             ,그 밖에 확인된 내분비·대사·유전·면역질환,44 ,44 ,,
2024,내과,1139022-나             ,그 밖에 확인된 내분비·대사·유전·면역질환,18 ,,18 ,
2024,내과,1139023-다             ,철결핍 및 2차성 빈혈,1 ,,1 ,
2024,내과,1139024                 ,재생불량성 빈혈,6 ,,,6.0
2024,내과,1139025-나             ,용혈성 빈혈,6 ,,6 ,
2024,내과,1139025-다             ,용혈성 빈혈,3 ,,3 ,
2024,내과,1139026-나-1)          ,만성 골수 증식성 질환,2 ,,2 ,
2024,내과,1139026-다             ,만성 골수 증식성 질환,1 ,,,1.0
2024,내과,1139027-가             ,혈액응고장애,12 ,,12 ,
2024,내과,1139027-나             ,혈액응고장애,29 ,,,29.0
2024,내과,1139027-다             ,혈액응고장애,2 ,,,2.0
2024,내과,1139028-가-2)          ,자반증,25 ,,25 ,
2024,내과,1139029                 ,백혈병,13 ,,,13.0
2024,내과,1139029의2             ,골수이형성증후군,1 ,,,1.0
2024,내과,1139030                 ,악성 림프종,9 ,,,9.0
2024,내과,1139032                 ,관해 후 5년 이상 경과한 혈액암,35 ,,35 ,
2024,내과,1139033-나-3)          ,사구체질환,73 ,73 ,,
2024,내과,1139033-나-4)          ,사구체질환,11 ,11 ,,
2024,내과,1139033-다             ,사구체질환,16 ,,16 ,
2024,내과,1139035-가             ,신증후군,27 ,27 ,,
2024,내과,1139035-나             ,신증후군,21 ,,21 ,
2024,내과,1139036-가             ,만성신부전,15 ,,15 ,
2024,내과,1139036-나             ,만성신부전,1 ,,,1.0
2024,내과,1139038-나             ,기관지 확장증 및 범발성 세기관지염,4 ,4 ,,
2024,내과,1139039-나             ,만성 폐쇄성 폐질환,4 ,4 ,,
2024,내과,1139039-다             ,만성 폐쇄성 폐질환,3 ,,3 ,
2024,내과,1139039-라             ,만성 폐쇄성 폐질환,1 ,,,1.0
2024,내과,1139040-다             ,기관지 천식,162 ,162 ,,
2024,내과,1139040-마             ,기관지 천식,12 ,12 ,,
2024,내과,1139043의2-나         ,독성물질에 의한 미만성 간질성 폐질환(DILD),1 ,1 ,,
2024,내과,1139048-라             ,본태성 고혈압,1 ,1 ,,
2024,내과,1139051-나             ,조기흥분증후군,16 ,16 ,,
2024,내과,1139052-나-3)-나)     ,부정맥,1 ,,1 ,
2024,내과,1139052-다-2)          ,부정맥,3 ,3 ,,
2024,내과,1139052-라-2)          ,부정맥,4 ,4 ,,
2024,내과,1139052-마-1)          ,부정맥,4 ,4 ,,
2024,내과,1139052-마-2)          ,부정맥,2 ,,2 ,
2024,내과,1139052-마-3)          ,부정맥,11 ,,11 ,
2024,내과,1139052-바-2)          ,부정맥,4 ,,,4.0
2024,내과,1139052-사             ,부정맥,10 ,,,10.0
2024,내과,1139054-나-2)          ,방실자극 전도장애,1 ,,1 ,
2024,내과,1139054-다             ,방실자극 전도장애,1 ,,,1.0
2024,내과,1139055-나-2)          ,전도장애,1 ,1 ,,
2024,내과,1139055-다-1)          ,전도장애,1 ,1 ,,
2024,내과,1139055-마             ,전도장애,3 ,,,3.0
2024,내과,1139056-가-1)-가)     ,심장판막질환,5 ,5 ,,
2024,내과,1139056-가-1)-나)     ,심장판막질환,4 ,,4 ,
2024,내과,1139056-나-1)-나)     ,심장판막질환,11 ,11 ,,
2024,내과,1139056-나-1)-다)     ,심장판막질환,3 ,,3 ,
2024,내과,1139056-나-1)-라)     ,심장판막질환,4 ,,,4.0
2024,내과,1139056-다-2)          ,심장판막질환,3 ,3 ,,
2024,내과,1139057-가             ,선천성 심장질환,79 ,79 ,,
2024,내과,1139057-나-2)          ,선천성 심장질환,11 ,11 ,,
2024,내과,1139057-라-1)          ,선천성 심장질환,18 ,18 ,,
2024,내과,1139057-라-2)          ,선천성 심장질환,3 ,,3 ,
2024,내과,1139058-다-1)          ,확진된 관상동맥경화증·협심증·심근경색증 또는 전색,2 ,,2 ,
2024,내과,1139058-라             ,확진된 관상동맥경화증·협심증·심근경색증 또는 전색,3 ,,3 ,
2024,내과,1139058-마-1)          ,확진된 관상동맥경화증·협심증·심근경색증 또는 전색,3 ,3 ,,
2024,내과,1139058-마-2)          ,확진된 관상동맥경화증·협심증·심근경색증 또는 전색,7 ,,7 ,
2024,내과,1139059-다             ,심낭염,1 ,,1 ,
2024,내과,1139060-나-2)          ,심근질환,15 ,,,15.0
2024,내과,1139060-다             ,심근질환,2 ,,,2.0
2024,내과,1139062-라-3)          ,소화성궤양,1 ,1 ,,
2024,내과,1139063-가             ,식도협착,3 ,3 ,,
