연도,지방청,처분인원,현역,보충역,전시근로역,병역면제,재신체검사
2019,서울,55189,44341,7885,1566,225,1172
2019,부산.울산,27035,21990,3541,809,107,588
2019,대구.경북,32240,26456,4056,848,97,783
2019,경인,46041,37213,6039,1355,157,1277
2019,광주.전남,22313,18265,2902,601,83,462
2019,대전.충남,24311,20041,3205,609,87,369
2019,강원,6104,4959,832,160,18,135
2019,충북,9922,8151,1353,259,36,123
2019,전북,12280,9854,1832,411,57,126
2019,경남,21504,17763,2647,538,71,485
2019,제주,4347,3493,635,139,16,64
2019,인천,35736,29166,5052,899,133,486
2019,경기북부,23064,18613,3258,634,98,461
2019,강원영동,3677,3033,487,103,17,37
2020,서울,47289,37827,6749,1337,154,1222
2020,부산.울산,23550,19242,3051,675,69,513
2020,대구.경북,27583,22183,3898,728,71,703
2020,경인,41462,33399,5327,1184,128,1424
2020,광주.전남,19770,15753,2659,565,66,727
2020,대전.충남,21565,17814,2685,600,75,391
2020,강원,5417,4406,732,158,18,103
2020,충북,8802,7218,1245,244,16,79
2020,전북,9924,8164,1083,223,21,433
2020,경남,18914,15650,2338,469,61,396
2020,제주,3866,3120,504,107,13,122
2020,인천,30861,25278,4092,737,92,662
2020,경기북부,20132,16369,2717,555,72,419
2020,강원영동,3032,2559,372,72,1,28
2021,서울,41899,34570,4925,1104,148,1152
2021,부산.울산,20096,16934,2097,569,59,437
2021,대구.경북,24589,20596,2756,723,60,454
2021,경인,38253,31444,4274,1129,101,1305
2021,광주.전남,17202,14092,1892,470,50,698
2021,대전.충남,19773,16329,2402,539,83,420
2021,강원,4778,4027,541,100,17,93
2021,충북,7700,6595,797,183,20,105
2021,전북,10182,8175,1388,353,33,233
2021,경남,16591,14069,1671,424,47,380
2021,제주,3621,3026,406,96,9,84
2021,인천,28368,23760,3152,750,97,609
2021,경기북부,18622,15419,2181,489,60,473
2021,강원영동,2687,2286,299,63,7,32
2022,서울,41703,34331,4654,1047,122,1549
2022,부산.울산,19986,17004,2028,451,64,439
2022,대구.경북,23626,20101,2447,588,67,423
2022,경인,37514,31389,4028,938,104,1055
2022,광주.전남,17118,14138,1926,451,51,552
2022,대전.충남,19417,15982,2362,531,59,483
2022,강원,4401,3735,463,94,17,92
2022,충북,7426,6254,749,197,21,205
2022,전북,8650,7062,989,240,22,337
2022,경남,16219,13651,1674,447,47,400
2022,제주,3479,2876,391,94,7,111
2022,인천,27870,23454,2892,763,88,673
2022,경기북부,18411,15329,2067,425,51,539
2022,강원영동,2541,2202,232,50,2,55
2023,서울,40625,33095,4810,1039,131,1550
2023,부산.울산,18755,15923,1842,438,45,507
2023,대구.경북,22059,18643,2386,574,59,397
2023,경인,36040,30166,3901,869,105,999
2023,광주.전남,15680,13122,1668,364,43,483
2023,대전.충남,19435,16428,2056,497,64,390
2023,강원,4313,3652,425,108,10,118
2023,충북,7438,6185,834,191,28,200
2023,전북,8736,7251,1029,197,19,240
2023,경남,15741,13400,1583,395,46,317
2023,제주,3351,2776,374,78,11,112
2023,인천,26497,22363,2875,629,85,545
2023,경기북부,17459,14662,1865,417,42,473
2023,강원영동,2475,2138,221,58,7,51
2024,서울,37356,31642,3337,841,120,1416
2024,부산.울산,17584,15430,1343,363,43,405
2024,대구.경북,20776,18201,1557,495,59,464
2024,경인,33978,29274,2654,770,89,1191
2024,광주.전남,14568,12606,1187,297,36,442
2024,대전.충남,17897,15617,1309,398,64,509
2024,강원,4211,3671,318,99,12,111
2024,충북,6964,5882,622,182,27,251
2024,전북,7933,6861,582,182,19,289
2024,경남,14262,12475,1054,353,42,338
2024,제주,3164,2727,268,77,5,87
2024,인천,24383,21172,1903,477,62,769
2024,경기북부,16273,14024,1311,367,46,525
2024,강원영동,2255,1968,151,53,4,79
